epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33564,1.75849,3.56555,1.70278,0.08482,0.992,0.09355,0.07613,0.65804,3.2456,0.8858,0.00011669,0.00011669,0.00011669
2,2.06843,0.9846,2.81779,1.1501,0.0755,0.996,0.36469,0.26459,0.72859,2.82393,0.85325,0.000245099,0.000245099,0.000245099
3,2.77382,0.94594,1.72038,1.04746,0.08144,0.992,0.28222,0.20903,0.99237,2.72093,0.95075,0.000368227,0.000368227,0.000368227
4,3.44515,0.90619,1.1578,1.0191,0.39048,0.55607,0.39923,0.29555,1.12913,1.85805,0.90033,0.000486074,0.000486074,0.000486074
5,4.14811,0.91273,0.94979,1.04526,0.44518,0.956,0.45151,0.31687,1.09547,1.77397,0.87101,0.00059864,0.00059864,0.00059864
6,4.84023,0.85211,0.87695,1.03542,0.43258,0.976,0.44382,0.33072,0.92732,1.6395,0.862,0.000705924,0.000705924,0.000705924
7,5.49137,0.78414,0.74124,1.00631,0.43666,0.91775,0.4563,0.34938,0.82754,1.59685,0.86332,0.000807928,0.000807928,0.000807928
8,6.18531,0.79511,0.72568,1.00663,0.43212,0.98618,0.47616,0.40473,0.63805,1.43112,0.84737,0.000904651,0.000904651,0.000904651
9,6.87371,0.80283,0.69331,1.00991,0.43369,0.996,0.53791,0.46487,0.58253,1.53327,0.83268,0.000996093,0.000996093,0.000996093
10,7.53275,0.77096,0.65496,1.01043,0.43476,1,0.51667,0.40162,0.88343,1.95229,0.94053,0.00108225,0.00108225,0.00108225
11,8.2175,0.74709,0.61251,0.97725,0.43033,0.99412,0.54399,0.45277,0.65522,2.22135,0.96336,0.00116313,0.00116313,0.00116313
12,8.91142,0.73383,0.60473,0.98697,0.43288,0.996,0.58147,0.47789,0.63573,1.86295,0.90706,0.00123873,0.00123873,0.00123873
13,9.63045,0.75862,0.59474,0.97762,0.43103,0.972,0.60905,0.49839,0.69235,1.36758,0.92418,0.00127092,0.00127092,0.00127092
14,10.3187,0.71641,0.57275,0.95323,0.43374,0.996,0.54158,0.42174,0.69612,1.47998,0.86812,0.00123791,0.00123791,0.00123791
15,10.9852,0.70043,0.56292,0.95476,0.43152,0.992,0.49019,0.40974,0.60534,1.52808,0.89808,0.00120491,0.00120491,0.00120491
16,11.6655,0.69726,0.5507,0.95673,0.4336,0.996,0.56622,0.46747,0.59248,1.56548,0.85278,0.0011719,0.0011719,0.0011719
17,12.3248,0.66564,0.52999,0.94479,0.43425,1,0.51087,0.44059,0.55251,1.64553,0.84618,0.00113889,0.00113889,0.00113889
18,12.9781,0.72699,0.5698,0.97168,0.43389,0.99946,0.4854,0.41878,0.55289,1.48639,0.84815,0.00110589,0.00110589,0.00110589
19,13.7063,0.69989,0.53827,0.95818,0.43384,1,0.46927,0.40433,0.54278,1.45878,0.83951,0.00107288,0.00107288,0.00107288
20,14.3854,0.67994,0.53269,0.95922,0.44886,0.964,0.46608,0.39421,0.60692,1.36571,0.84122,0.00103987,0.00103987,0.00103987
21,15.0607,0.69796,0.52685,0.94721,0.43679,0.99268,0.4929,0.41552,0.57558,1.3316,0.82585,0.00100687,0.00100687,0.00100687
22,15.7185,0.68413,0.51514,0.95068,0.44276,0.984,0.44917,0.37814,0.54006,1.46604,0.82387,0.000973861,0.000973861,0.000973861
