epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.5832,0.67952,0.33006,0.92616,0.97991,0.747,0.74752,0.61043,0.49208,0.24073,0.80435,0.00107205,0.00107205,0.00107205
43,79.4047,0.64349,0.32153,0.91593,0.98392,0.747,0.74828,0.61409,0.47126,0.22388,0.80167,0.00104705,0.00104705,0.00104705
44,81.2128,0.65254,0.31919,0.91961,0.988,0.747,0.7483,0.59953,0.48803,0.21256,0.80285,0.00102184,0.00102184,0.00102184
45,83.0056,0.63349,0.31342,0.91129,0.99819,0.74218,0.74957,0.63001,0.4674,0.21741,0.79673,0.000996456,0.000996456,0.000996456
46,84.8308,0.64511,0.31937,0.92191,0.98986,0.747,0.753,0.63657,0.48798,0.22013,0.80093,0.000970919,0.000970919,0.000970919
47,86.6228,0.65257,0.31534,0.91607,0.86125,0.747,0.73251,0.61541,0.47736,0.20716,0.79948,0.000945256,0.000945256,0.000945256
48,88.4052,0.63823,0.31309,0.91346,0.99101,0.747,0.74889,0.64061,0.44841,0.20664,0.79384,0.00091949,0.00091949,0.00091949
49,90.2966,0.63425,0.30644,0.91298,0.98853,0.747,0.7467,0.65029,0.46742,0.20649,0.79824,0.000893648,0.000893648,0.000893648
50,92.1247,0.63189,0.30256,0.90778,0.98803,0.747,0.74556,0.64416,0.47788,0.22053,0.80054,0.000867754,0.000867754,0.000867754
51,94.0387,0.63394,0.30973,0.90735,0.98778,0.747,0.74625,0.65788,0.44867,0.2053,0.79516,0.000841835,0.000841835,0.000841835
52,95.9711,0.66104,0.31148,0.91983,0.98926,0.747,0.74646,0.65058,0.45466,0.20447,0.79601,0.000815916,0.000815916,0.000815916
53,97.7935,0.62619,0.29867,0.90797,0.98922,0.747,0.74655,0.64761,0.48457,0.21174,0.80102,0.000790022,0.000790022,0.000790022
54,99.6771,0.65418,0.30974,0.92592,0.98865,0.747,0.74629,0.64279,0.45461,0.20338,0.79669,0.00076418,0.00076418,0.00076418
55,101.531,0.64386,0.30688,0.91167,0.97988,0.747,0.74683,0.61443,0.50667,0.2115,0.80414,0.000738414,0.000738414,0.000738414
56,103.382,0.62798,0.29723,0.91076,0.96877,0.747,0.74954,0.64787,0.44229,0.20694,0.79455,0.000712751,0.000712751,0.000712751
57,105.252,0.61287,0.29337,0.90512,0.98884,0.747,0.74943,0.66223,0.45048,0.20426,0.79505,0.000687214,0.000687214,0.000687214
58,107.158,0.62613,0.29803,0.90841,0.99805,0.74468,0.7467,0.64732,0.48373,0.20539,0.80125,0.000661831,0.000661831,0.000661831
59,109.006,0.62843,0.2985,0.91646,0.99045,0.747,0.75845,0.66513,0.48232,0.20682,0.79975,0.000636625,0.000636625,0.000636625
60,110.959,0.6339,0.30011,0.90982,0.99,0.747,0.76963,0.67565,0.44876,0.20762,0.79562,0.000611621,0.000611621,0.000611621
61,112.893,0.66212,0.30918,0.92267,0.99164,0.747,0.76473,0.66928,0.45561,0.21066,0.79738,0.000586845,0.000586845,0.000586845
62,114.733,0.63314,0.30419,0.91929,0.99702,0.747,0.75241,0.65358,0.46555,0.20768,0.79901,0.00056232,0.00056232,0.00056232
63,116.665,0.61637,0.2913,0.90814,0.9904,0.747,0.75121,0.63572,0.46775,0.20041,0.79807,0.000538072,0.000538072,0.000538072
64,118.531,0.61527,0.28639,0.90256,0.99016,0.747,0.75421,0.64259,0.45244,0.2007,0.79394,0.000514122,0.000514122,0.000514122
65,120.366,0.62545,0.29057,0.90729,0.99002,0.747,0.75756,0.63443,0.44999,0.19317,0.79405,0.000490497,0.000490497,0.000490497
66,122.229,0.61373,0.28893,0.90467,0.9905,0.747,0.76934,0.63004,0.46039,0.19985,0.7952,0.000467218,0.000467218,0.000467218
67,124.105,0.61623,0.28596,0.90367,0.99082,0.747,0.76005,0.65822,0.45489,0.19817,0.79484,0.000444309,0.000444309,0.000444309
68,125.959,0.60717,0.28205,0.90495,0.99138,0.747,0.75509,0.63522,0.47703,0.20252,0.79999,0.000421792,0.000421792,0.000421792
69,127.841,0.61911,0.28359,0.90368,0.99127,0.747,0.75422,0.63819,0.43276,0.19506,0.79177,0.000399689,0.000399689,0.000399689
70,129.635,0.61892,0.28338,0.90307,0.99073,0.747,0.7531,0.64226,0.43205,0.1935,0.79195,0.000378023,0.000378023,0.000378023
71,131.466,0.59593,0.27654,0.90041,0.99038,0.747,0.75333,0.64931,0.43583,0.19012,0.79277,0.000356815,0.000356815,0.000356815
72,133.276,0.60448,0.28043,0.9011,0.98911,0.747,0.75416,0.65063,0.43146,0.18634,0.79138,0.000336086,0.000336086,0.000336086
73,135.072,0.61077,0.28561,0.90753,0.98764,0.747,0.75719,0.65295,0.44878,0.18769,0.794,0.000315855,0.000315855,0.000315855
74,136.88,0.60465,0.28134,0.90386,0.99057,0.747,0.76214,0.66017,0.44562,0.18728,0.79455,0.000296144,0.000296144,0.000296144
75,138.732,0.59866,0.28143,0.89866,0.99022,0.747,0.76087,0.67202,0.42104,0.18313,0.79068,0.000276971,0.000276971,0.000276971
76,140.54,0.61231,0.28039,0.91162,0.99041,0.747,0.75756,0.67886,0.4413,0.18606,0.79264,0.000258355,0.000258355,0.000258355
77,142.475,0.59319,0.27186,0.90116,0.99028,0.747,0.75089,0.6573,0.47545,0.19439,0.7979,0.000240316,0.000240316,0.000240316
78,144.25,0.6056,0.27415,0.90567,0.98994,0.747,0.75121,0.67085,0.4339,0.18725,0.79198,0.00022287,0.00022287,0.00022287
79,146.106,0.6084,0.27432,0.9055,0.9902,0.747,0.75188,0.65817,0.45162,0.18891,0.79584,0.000206034,0.000206034,0.000206034
80,147.892,0.59664,0.26634,0.89632,0.99099,0.747,0.75169,0.661,0.43783,0.18666,0.79346,0.000189827,0.000189827,0.000189827
81,149.702,0.6141,0.2729,0.90587,0.99137,0.747,0.75486,0.668,0.43208,0.18411,0.79206,0.000174262,0.000174262,0.000174262
82,151.524,0.60197,0.27195,0.90122,0.99117,0.747,0.75997,0.68118,0.43008,0.18233,0.79178,0.000159357,0.000159357,0.000159357
83,153.478,0.59396,0.26593,0.90296,0.99123,0.747,0.76137,0.68428,0.42154,0.17725,0.79078,0.000145125,0.000145125,0.000145125
84,155.361,0.60181,0.27211,0.9063,0.99175,0.747,0.7633,0.66311,0.4249,0.1785,0.79171,0.000131581,0.000131581,0.000131581
85,157.253,0.57907,0.26028,0.89482,0.99234,0.747,0.76495,0.65827,0.43168,0.18053,0.79306,0.000118737,0.000118737,0.000118737
86,159.094,0.57839,0.2647,0.8897,0.99357,0.747,0.76764,0.66423,0.43074,0.17901,0.79308,0.000106608,0.000106608,0.000106608
87,160.895,0.5796,0.26292,0.88863,0.99326,0.747,0.76119,0.66049,0.42349,0.17606,0.79127,9.52034e-05,9.52034e-05,9.52034e-05
88,162.709,0.58658,0.2646,0.89329,0.99418,0.747,0.75858,0.6591,0.42386,0.17688,0.79178,8.4536e-05,8.4536e-05,8.4536e-05
89,164.554,0.58736,0.26628,0.88648,0.99551,0.747,0.7609,0.66127,0.42272,0.17678,0.79108,7.4616e-05,7.4616e-05,7.4616e-05
90,166.348,0.56976,0.25926,0.88985,0.99408,0.747,0.76114,0.65955,0.42733,0.17828,0.79174,6.54531e-05,6.54531e-05,6.54531e-05
91,176.735,0.55375,0.23545,0.8808,0.99552,0.747,0.75481,0.64198,0.41993,0.18282,0.78812,5.70564e-05,5.70564e-05,5.70564e-05
92,178.504,0.55433,0.23714,0.87424,0.99567,0.74463,0.75514,0.61525,0.42565,0.18708,0.78817,4.94343e-05,4.94343e-05,4.94343e-05
93,180.26,0.54669,0.2267,0.87077,0.99545,0.74331,0.75538,0.61507,0.43168,0.18909,0.78897,4.25941e-05,4.25941e-05,4.25941e-05
94,182.098,0.53358,0.22266,0.86873,0.99621,0.744,0.75632,0.63771,0.43649,0.18896,0.78966,3.65426e-05,3.65426e-05,3.65426e-05
95,183.917,0.54075,0.22466,0.87013,0.99646,0.74392,0.75674,0.62335,0.4412,0.18789,0.79052,3.12859e-05,3.12859e-05,3.12859e-05
96,185.642,0.53455,0.22072,0.8707,0.99669,0.74444,0.75842,0.62529,0.44019,0.1862,0.79043,2.68292e-05,2.68292e-05,2.68292e-05
97,187.402,0.53877,0.2184,0.87173,0.9971,0.74627,0.76007,0.64517,0.43297,0.18416,0.78947,2.31767e-05,2.31767e-05,2.31767e-05
98,189.129,0.53643,0.22171,0.86685,0.99712,0.74628,0.75956,0.63135,0.42952,0.18401,0.78895,2.03321e-05,2.03321e-05,2.03321e-05
99,190.852,0.54186,0.21891,0.86797,0.99714,0.74617,0.76373,0.64927,0.42733,0.18334,0.78876,1.82983e-05,1.82983e-05,1.82983e-05
100,192.623,0.53632,0.22422,0.86624,0.99712,0.74564,0.76427,0.64722,0.42292,0.18326,0.78807,1.70772e-05,1.70772e-05,1.70772e-05
