epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.89353,2.15854,3.40111,1.83921,0.028,0.35146,0.01907,0.00803,2.49582,3.0622,2.15628,0,0,0
2,1.08291,1.89151,3.23648,1.76157,0.02833,0.35565,0.01933,0.00857,2.46495,3.06219,2.13198,1.9604e-05,1.9604e-05,1.9604e-05
3,1.28132,1.90743,3.18757,1.75481,0.02833,0.35565,0.01925,0.00834,2.45606,3.06296,2.12354,3.8416e-05,3.8416e-05,3.8416e-05
4,1.444,2.14785,3.396,1.86055,0.02833,0.35565,0.01925,0.00859,2.42756,3.06223,2.1014,5.6436e-05,5.6436e-05,5.6436e-05
5,1.68071,2.11097,3.32019,1.86937,0.048,0.60251,0.03894,0.01925,1.55042,3.00348,1.53613,7.3664e-05,7.3664e-05,7.3664e-05
6,1.94566,1.57346,3.17307,1.51968,0.07267,0.91213,0.07891,0.04847,0.91396,2.95427,1.12588,9.01e-05,9.01e-05,9.01e-05
7,2.21901,1.22048,3.04997,1.38933,0.078,0.97908,0.13342,0.10346,0.62651,2.92284,0.93445,0.000105744,0.000105744,0.000105744
8,2.47715,1.00303,3.11582,1.1944,0.07877,0.98745,0.17444,0.1413,0.59048,2.90859,0.88035,0.000120596,0.000120596,0.000120596
9,2.7263,0.88177,2.99986,1.12731,0.07965,0.99582,0.18741,0.1486,0.60378,2.89414,0.86557,0.000134656,0.000134656,0.000134656
10,2.97761,0.74348,2.82068,1.0752,0.08007,1,0.21905,0.15529,0.61893,2.8581,0.86189,0.000147924,0.000147924,0.000147924
11,3.24265,0.79961,2.92637,1.05092,0.07993,1,0.42418,0.25064,0.64435,2.79395,0.86465,0.0001604,0.0001604,0.0001604
12,3.50584,0.64451,2.59431,0.98874,0.07969,1,0.59559,0.39156,0.6499,2.68797,0.86666,0.000172084,0.000172084,0.000172084
13,3.76252,0.65649,2.20292,0.95263,0.07967,1,0.77273,0.55406,0.60937,2.55671,0.85201,0.000182976,0.000182976,0.000182976
14,4.01413,0.65559,2.14151,0.94593,0.07967,1,0.86953,0.65121,0.60034,2.45169,0.84317,0.000193076,0.000193076,0.000193076
15,4.25808,0.6429,1.95593,0.89651,0.07967,1,0.93807,0.70083,0.6222,2.36424,0.84093,0.000202384,0.000202384,0.000202384
16,4.55681,0.62265,1.60864,0.91655,0.07967,1,0.97176,0.74603,0.63958,2.2566,0.84211,0.0002109,0.0002109,0.0002109
17,4.79303,0.60539,1.59764,0.89171,0.95698,0.93072,0.98654,0.75469,0.67947,2.14006,0.84069,0.000218624,0.000218624,0.000218624
18,5.02913,0.62424,1.4046,0.88177,0.95698,0.93072,0.98654,0.75469,0.67947,2.14006,0.84069,0.000225556,0.000225556,0.000225556
19,5.27638,0.6082,1.34561,0.88628,0.99422,0.7192,0.99084,0.74445,0.73792,2.00885,0.84194,0.000231696,0.000231696,0.000231696
20,5.50289,0.59983,1.20828,0.89144,0.99422,0.7192,0.99084,0.74445,0.73792,2.00885,0.84194,0.000237044,0.000237044,0.000237044
21,5.73025,0.67427,1.50959,0.92529,1,0.85212,0.99236,0.77417,0.73711,1.8569,0.84197,0.0002416,0.0002416,0.0002416
22,5.97808,0.57318,1.0423,0.88852,1,0.85212,0.99236,0.77417,0.73711,1.8569,0.84197,0.000245364,0.000245364,0.000245364
23,6.21852,0.5523,1.10125,0.87833,0.99565,0.95707,0.99313,0.80395,0.71063,1.7345,0.84057,0.000248336,0.000248336,0.000248336
24,6.46479,0.58744,1.1324,0.91023,0.99565,0.95707,0.99313,0.80395,0.71063,1.7345,0.84057,0.000250516,0.000250516,0.000250516
25,6.74073,0.54284,1.00943,0.85569,0.99572,0.97293,0.99309,0.81361,0.70375,1.66062,0.84179,0.000251904,0.000251904,0.000251904
26,6.9825,0.5391,0.9675,0.88053,0.99572,0.97293,0.99309,0.81361,0.70375,1.66062,0.84179,0.0002525,0.0002525,0.0002525
27,7.24987,0.59817,0.97218,0.86704,0.99572,0.97383,0.99307,0.81922,0.71446,1.60489,0.84158,0.000252304,0.000252304,0.000252304
28,7.48454,0.54569,0.80869,0.87056,0.99572,0.97383,0.99307,0.81922,0.71446,1.60489,0.84158,0.000251316,0.000251316,0.000251316
29,7.73723,0.61495,0.8681,0.88307,0.99154,0.98043,0.99287,0.8228,0.72725,1.53571,0.84434,0.000249536,0.000249536,0.000249536
30,7.98722,0.59406,0.84172,0.9051,0.99154,0.98043,0.99287,0.8228,0.72725,1.53571,0.84434,0.000246964,0.000246964,0.000246964
31,8.28167,0.54494,0.81675,0.88071,0.99103,0.98326,0.99281,0.82511,0.74741,1.44069,0.84525,0.0002436,0.0002436,0.0002436
32,8.50852,0.55532,0.87788,0.8842,0.99103,0.98326,0.99281,0.82511,0.74741,1.44069,0.84525,0.000239444,0.000239444,0.000239444
33,8.79243,0.52458,0.87849,0.90456,0.98734,0.98745,0.993,0.83603,0.71649,1.3033,0.83974,0.000234496,0.000234496,0.000234496
34,9.03527,0.54416,0.76031,0.88244,0.98734,0.98745,0.993,0.83603,0.71649,1.3033,0.83974,0.000228756,0.000228756,0.000228756
35,9.29583,0.54176,0.79703,0.87907,0.98583,0.98745,0.993,0.84886,0.66727,1.19355,0.83244,0.000222224,0.000222224,0.000222224
36,9.5326,0.51099,0.68929,0.87283,0.98583,0.98745,0.993,0.84886,0.66727,1.19355,0.83244,0.0002149,0.0002149,0.0002149
37,9.80455,0.51472,0.7511,0.89638,0.98746,0.98877,0.99243,0.85826,0.6274,1.11614,0.82715,0.000206784,0.000206784,0.000206784
