epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.05921,0.99162,1.051,1.11503,0.98462,0.74691,0.76349,0.56632,0.60475,0.37353,0.83518,0.000546557,0.000546557,0.000546557
2,7.57668,0.74667,0.48142,0.96217,0.99068,0.747,0.8421,0.66216,0.54522,0.31817,0.82573,0.00110195,0.00110195,0.00110195
3,11.0922,0.70022,0.4355,0.93844,0.91814,0.74451,0.772,0.65466,0.50047,0.30666,0.81449,0.00165627,0.00165627,0.00165627
4,14.4639,0.69979,0.41898,0.93376,0.98155,0.747,0.76911,0.65167,0.5356,0.26739,0.8204,0.00166334,0.00166334,0.00166334
5,17.8428,0.66622,0.40355,0.92529,0.98838,0.82931,0.90441,0.7708,0.5372,0.2702,0.81699,0.00166049,0.00166049,0.00166049
6,21.3083,0.65987,0.39867,0.92306,0.9976,0.82442,0.91137,0.80049,0.54385,0.27424,0.8162,0.00165684,0.00165684,0.00165684
7,24.7648,0.62981,0.37644,0.91158,0.999,0.82348,0.87496,0.77247,0.48837,0.26287,0.80901,0.00165238,0.00165238,0.00165238
8,28.1636,0.6232,0.37064,0.90895,0.99221,0.82705,0.995,0.88241,0.49843,0.23329,0.80941,0.00164713,0.00164713,0.00164713
9,31.6438,0.63573,0.36903,0.91509,0.98495,0.997,0.995,0.88271,0.483,0.23454,0.80237,0.00164108,0.00164108,0.00164108
10,35.1529,0.61626,0.35884,0.90825,0.99495,0.997,0.995,0.89753,0.47818,0.23743,0.80143,0.00163424,0.00163424,0.00163424
11,38.5984,0.60497,0.34297,0.90301,0.55554,0.96493,0.91903,0.7939,0.50329,0.35207,0.80532,0.00162661,0.00162661,0.00162661
12,41.9889,0.60746,0.3374,0.90374,0.86322,0.99462,0.94667,0.85479,0.47804,0.22467,0.80182,0.00161822,0.00161822,0.00161822
13,45.413,0.58767,0.32485,0.89754,0.86168,0.94903,0.995,0.89561,0.4512,0.26358,0.79425,0.00160905,0.00160905,0.00160905
14,48.8012,0.58256,0.32507,0.89274,0.99537,0.997,0.995,0.87682,0.48948,0.20996,0.80012,0.00159913,0.00159913,0.00159913
15,52.2143,0.57397,0.32032,0.8855,0.99552,0.997,0.995,0.92003,0.46693,0.20905,0.7978,0.00158847,0.00158847,0.00158847
16,55.6556,0.60308,0.33747,0.90051,0.99642,0.997,0.995,0.891,0.49428,0.22284,0.7993,0.00157706,0.00157706,0.00157706
17,59.1121,0.58444,0.32767,0.89513,0.99591,0.997,0.995,0.89043,0.47457,0.21312,0.79991,0.00156493,0.00156493,0.00156493
18,62.5113,0.58086,0.31139,0.89429,0.99056,0.99487,0.995,0.89067,0.4625,0.20837,0.79542,0.00155209,0.00155209,0.00155209
19,65.9806,0.56416,0.30701,0.89353,0.87092,0.99603,0.95929,0.86556,0.49048,0.21011,0.79974,0.00153854,0.00153854,0.00153854
20,69.4173,0.56939,0.30903,0.89082,0.99488,0.997,0.995,0.91635,0.49786,0.2214,0.8038,0.00152431,0.00152431,0.00152431
21,72.8905,0.56922,0.31389,0.89555,0.98357,0.99619,0.995,0.91142,0.45638,0.21676,0.79635,0.00150941,0.00150941,0.00150941
22,76.4082,0.5807,0.31739,0.89548,0.99029,0.997,0.995,0.90018,0.46235,0.19916,0.79623,0.00149384,0.00149384,0.00149384
23,80.0005,0.56638,0.30119,0.88209,0.98659,0.99619,0.995,0.90659,0.51778,0.2172,0.80616,0.00147764,0.00147764,0.00147764
24,83.4934,0.56218,0.30274,0.8859,0.86754,0.98982,0.95929,0.87531,0.48781,0.21422,0.80248,0.0014608,0.0014608,0.0014608
25,87.1367,0.55624,0.29721,0.888,0.99494,0.997,0.995,0.91003,0.47321,0.20081,0.7982,0.00144335,0.00144335,0.00144335
26,90.5589,0.56817,0.30292,0.89252,0.9918,0.997,0.995,0.91561,0.46218,0.19734,0.79896,0.00142531,0.00142531,0.00142531
27,94.0041,0.5468,0.29207,0.88125,0.99027,0.997,0.995,0.91115,0.41781,0.19195,0.78994,0.0014067,0.0014067,0.0014067
28,97.4283,0.55281,0.29397,0.88582,0.99547,0.997,0.995,0.91116,0.45643,0.19728,0.79299,0.00138753,0.00138753,0.00138753
