epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4878,1.5632,3.51417,1.59574,0.16611,0.988,0.17957,0.1443,0.55814,3.23774,0.8613,0.00011669,0.00011669,0.00011669
2,28.7525,0.99858,2.71083,1.12928,0.17388,0.996,0.93318,0.72565,0.67595,2.7061,0.82645,0.000245099,0.000245099,0.000245099
3,47.3379,0.89909,1.54415,1.02192,1,0.56191,0.969,0.73686,0.95233,2.24509,0.86766,0.000368227,0.000368227,0.000368227
4,67.8875,0.90739,1.10492,1.02888,1,0.67304,0.93841,0.67949,1.17537,1.77751,0.92903,0.000486074,0.000486074,0.000486074
5,93.0498,0.86109,0.91175,1.01749,0.99603,0.956,0.98795,0.75238,0.93127,1.13005,0.8506,0.00059864,0.00059864,0.00059864
