epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28518,1.75849,3.56555,1.70278,0.1936,0.992,0.21632,0.17579,0.65853,3.23263,0.88573,0.00011669,0.00011669,0.00011669
2,2.02452,0.9846,2.81779,1.1501,0.16997,0.996,0.87084,0.63619,0.72818,2.80199,0.85321,0.000245099,0.000245099,0.000245099
3,2.714,0.94594,1.72038,1.04746,0.18276,0.992,0.78668,0.58758,0.99208,2.68449,0.95058,0.000368227,0.000368227,0.000368227
4,3.38851,0.90619,1.1578,1.0191,1,0.56376,0.93646,0.70884,1.12887,1.73219,0.9003,0.000486074,0.000486074,0.000486074
5,4.07745,0.91273,0.94979,1.04526,1,0.99907,0.995,0.69883,1.09554,0.99062,0.87102,0.00059864,0.00059864,0.00059864
6,4.77165,0.85211,0.87695,1.03542,1,0.98913,0.995,0.7469,0.92749,1.04411,0.86198,0.000705924,0.000705924,0.000705924
7,5.43588,0.78414,0.74124,1.00631,1,0.92812,0.98793,0.75981,0.82745,1.29099,0.86327,0.000807928,0.000807928,0.000807928
8,6.13857,0.79511,0.72568,1.00663,0.99597,0.98741,0.99408,0.84618,0.63795,1.10351,0.84732,0.000904651,0.000904651,0.000904651
9,6.82221,0.80283,0.69331,1.00991,0.99951,0.996,0.995,0.86257,0.58245,0.65084,0.83271,0.000996093,0.000996093,0.000996093
10,7.49112,0.77096,0.65496,1.01043,0.99987,1,0.995,0.77924,0.88337,0.60152,0.94043,0.00108225,0.00108225,0.00108225
11,8.15813,0.74709,0.61251,0.97725,0.99444,0.996,0.995,0.83674,0.65522,0.60622,0.96307,0.00116313,0.00116313,0.00116313
12,8.88482,0.73383,0.60473,0.98697,1,0.99553,0.995,0.83787,0.63563,0.55063,0.90718,0.00123873,0.00123873,0.00123873
13,9.58348,0.75862,0.59474,0.97762,0.98098,0.996,0.99367,0.82325,0.69246,0.63838,0.9243,0.00127092,0.00127092,0.00127092
14,10.2581,0.71641,0.57275,0.95323,1,0.99956,0.995,0.79714,0.69609,0.48965,0.86815,0.00123791,0.00123791,0.00123791
15,10.9245,0.70043,0.56292,0.95476,0.99568,0.996,0.9946,0.83686,0.60518,0.53709,0.89783,0.00120491,0.00120491,0.00120491
16,11.6476,0.69726,0.5507,0.95673,0.99555,1,0.99484,0.83201,0.59253,0.46532,0.8528,0.0011719,0.0011719,0.0011719
17,12.3197,0.66564,0.52999,0.94479,0.99951,1,0.995,0.86192,0.55271,0.43695,0.84615,0.00113889,0.00113889,0.00113889
18,12.9847,0.72699,0.5698,0.97168,1,0.99991,0.995,0.86227,0.55269,0.45111,0.8481,0.00110589,0.00110589,0.00110589
