epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45406,2.00752,3.38928,1.76506,0.98952,0.986,0.99418,0.75448,0.88383,0.61621,0.91137,0.00011669,0.00011669,0.00011669
2,2.59054,0.96261,0.83111,1.12674,0.98464,0.992,0.99498,0.73893,0.91133,0.74012,0.92345,0.000249989,0.000249989,0.000249989
3,3.62782,0.81157,0.55945,0.99309,0.9987,0.994,0.995,0.86881,0.5458,1.05859,0.81839,0.000383035,0.000383035,0.000383035
4,4.7234,0.77029,0.53527,0.97639,0.9996,0.992,0.995,0.86321,0.56998,0.66014,0.82985,0.000515635,0.000515635,0.000515635
5,5.74791,0.78324,0.47947,0.97266,1,0.99382,0.995,0.82196,0.67518,0.59484,0.84401,0.000647592,0.000647592,0.000647592
6,6.83686,0.74517,0.47153,0.96146,0.58067,0.994,0.7177,0.60599,0.64317,1.87366,0.83719,0.000778715,0.000778715,0.000778715
7,7.86875,0.69273,0.43584,0.94303,0.99798,0.98668,0.99498,0.85886,0.59264,0.40591,0.83505,0.000908811,0.000908811,0.000908811
8,8.88291,0.70738,0.4532,0.94024,1,0.99588,0.995,0.86899,0.56317,0.36766,0.82426,0.00103769,0.00103769,0.00103769
9,9.95597,0.73096,0.43665,0.94515,0.9661,0.85498,0.89794,0.7462,0.76684,0.51286,0.91045,0.00116516,0.00116516,0.00116516
10,10.9876,0.70703,0.41532,0.94064,0.99762,0.986,0.99486,0.85072,0.60644,0.35446,0.83997,0.00129105,0.00129105,0.00129105
11,11.9897,0.70929,0.4141,0.93492,0.99968,0.994,0.995,0.88562,0.50563,0.31165,0.81376,0.00141515,0.00141515,0.00141515
12,13.0386,0.67872,0.39463,0.92852,0.99799,0.99334,0.99498,0.85814,0.58114,0.33769,0.83126,0.00153731,0.00153731,0.00153731
13,14.1186,0.66745,0.40866,0.92085,0.98431,0.978,0.99228,0.85749,0.58255,0.33543,0.83248,0.00160905,0.00160905,0.00160905
14,15.1364,0.67078,0.40731,0.92194,0.99544,0.994,0.99496,0.80207,0.73984,0.33146,0.86909,0.00159913,0.00159913,0.00159913
15,16.1267,0.67677,0.39953,0.92813,0.99972,0.994,0.995,0.87057,0.56075,0.30181,0.83007,0.00158847,0.00158847,0.00158847
16,17.1355,0.69607,0.39499,0.92683,0.99979,0.994,0.995,0.86149,0.57481,0.29444,0.82006,0.00157706,0.00157706,0.00157706
17,18.1357,0.65874,0.37598,0.92329,0.99991,1,0.995,0.77697,0.84019,0.34923,0.89087,0.00156493,0.00156493,0.00156493
18,19.1345,0.69805,0.39736,0.93777,0.99994,0.996,0.995,0.88538,0.52917,0.28085,0.81614,0.00155209,0.00155209,0.00155209
19,20.1412,0.65631,0.38149,0.9182,1,0.9959,0.995,0.86082,0.59447,0.28428,0.82712,0.00153854,0.00153854,0.00153854
20,21.1187,0.63802,0.36233,0.91647,0.99986,1,0.995,0.83128,0.72547,0.31213,0.85852,0.00152431,0.00152431,0.00152431
21,22.1242,0.66,0.37235,0.91452,0.99988,1,0.995,0.84836,0.69531,0.29711,0.84073,0.00150941,0.00150941,0.00150941
22,23.1414,0.66046,0.3691,0.92241,0.99989,1,0.995,0.8938,0.52986,0.2778,0.8164,0.00149384,0.00149384,0.00149384
23,24.2021,0.64784,0.36576,0.90669,0.99978,1,0.995,0.89894,0.47656,0.24573,0.80073,0.00147764,0.00147764,0.00147764
24,25.2487,0.65376,0.36573,0.91364,0.99971,0.986,0.99458,0.82723,0.66429,0.29511,0.83672,0.0014608,0.0014608,0.0014608
25,26.2423,0.62737,0.35328,0.90431,0.99946,0.992,0.995,0.89684,0.47041,0.25309,0.79822,0.00144335,0.00144335,0.00144335
26,27.2435,0.62462,0.35416,0.91699,1,0.99549,0.995,0.84586,0.61131,0.28539,0.82093,0.00142531,0.00142531,0.00142531
27,28.2182,0.64983,0.36143,0.91077,0.99995,1,0.995,0.87689,0.5408,0.25287,0.80972,0.0014067,0.0014067,0.0014067
28,29.2036,0.62239,0.34874,0.90376,0.99987,1,0.995,0.88369,0.53012,0.23664,0.81015,0.00138753,0.00138753,0.00138753
29,30.187,0.63571,0.34934,0.90755,0.99928,1,0.995,0.84846,0.61306,0.24884,0.8262,0.00136781,0.00136781,0.00136781
30,31.2095,0.60761,0.34073,0.90148,0.99996,0.996,0.995,0.89935,0.48015,0.23259,0.79931,0.00134758,0.00134758,0.00134758
1,1.47153,2.00752,3.38928,1.76506,0.98952,0.986,0.99418,0.75448,0.88383,0.61621,0.91137,0.00011669,0.00011669,0.00011669
2,2.60744,0.96261,0.83111,1.12674,0.98464,0.992,0.99498,0.73893,0.91133,0.74012,0.92345,0.000249989,0.000249989,0.000249989
3,3.66271,0.81157,0.55945,0.99309,0.9987,0.994,0.995,0.86881,0.5458,1.05859,0.81839,0.000383035,0.000383035,0.000383035
